N, V, Time (ms)
10000, 2, 2.73923
10000, 4, 0.745717
10000, 8, 1.84031
10000, 16, 0.930241
10000, 32, 0.584136
10000, 64, 1.72473
10000, 128, 1.01079
10000, 256, 2.27398
