N, V, Time (ms)
100000, 2, 12.0892
100000, 4, 8.64035
100000, 8, 23.8792
100000, 16, 15.5365
100000, 32, 13.3345
100000, 64, 9.08866
100000, 128, 13.8251
100000, 256, 12.3013
