N, V, Time (ms)
100000000, 2, 3113.61
100000000, 4, 3154.75
100000000, 8, 3171.67
100000000, 16, 3324.49
100000000, 32, 3146.65
100000000, 64, 3193.19
100000000, 128, 3197.14
100000000, 256, 3191.41
