N, V, Time (ms)
1000000, 2, 63.1877
1000000, 4, 65.8859
1000000, 8, 96.3004
1000000, 16, 136.153
1000000, 32, 101.328
1000000, 64, 79.621
1000000, 128, 99.069
1000000, 256, 72.3535
