N, V, Time (ms)
10000000, 2, 693.142
10000000, 4, 735.053
10000000, 8, 691.724
10000000, 16, 721.269
10000000, 32, 1068.09
10000000, 64, 920.698
10000000, 128, 773.702
10000000, 256, 964.077
